Key,Frequency
1,1611
2,741
3,513
4,351
5,303
6,255
7,231
8,208
9,171
10,163
11,154
13,124
12,107
15,100
14,97
16,90
17,88
18,85
19,77
26,76
21,69
25,69
29,64
20,63
28,60
22,59
31,58
24,58
23,50
27,48
39,46
33,43
37,43
32,43
45,42
34,42
30,41
42,41
46,39
56,37
47,35
50,34
36,33
65,33
43,33
59,33
48,33
60,33
61,32
44,31
41,31
40,29
35,28
66,28
72,28
38,27
62,26
55,26
49,25
51,24
54,24
87,24
53,24
64,23
68,23
67,23
84,23
78,22
82,22
90,22
88,21
57,21
100,21
58,21
92,21
76,20
73,20
91,19
79,19
63,19
80,18
86,18
94,18
140,17
75,17
204,17
69,17
96,17
109,17
141,17
93,16
203,16
120,16
85,16
142,16
83,15
99,15
127,15
74,15
71,15
81,15
111,14
77,14
193,14
182,14
175,14
70,14
52,14
116,14
105,14
104,13
101,13
126,13
110,13
185,13
108,13
89,13
118,12
95,12
187,12
98,12
97,12
133,12
117,12
145,12
134,12
168,12
174,12
170,11
183,11
239,11
114,11
107,11
272,11
232,11
113,11
208,11
156,11
122,11
115,11
172,11
177,11
157,11
151,11
186,11
139,10
135,10
191,10
171,10
202,10
136,10
160,10
112,10
119,10
149,9
258,9
196,9
278,9
247,9
173,9
190,9
271,9
167,9
276,9
129,9
155,9
474,9
128,9
250,9
103,9
165,9
287,9
226,9
293,9
184,8
294,8
386,8
144,8
179,8
248,8
211,8
350,8
284,8
201,8
178,8
328,8
403,8
189,8
280,8
245,8
166,8
123,8
206,8
102,8
295,8
497,8
214,8
298,7
210,7
264,7
131,7
146,7
169,7
221,7
164,7
489,7
263,7
213,7
341,7
512,7
180,7
334,7
957,7
267,7
176,7
230,7
209,7
137,7
130,7
286,7
194,7
207,7
399,7
161,7
331,7
205,7
369,7
454,7
181,7
291,7
188,7
321,7
125,7
404,7
261,7
451,7
372,7
259,7
148,7
381,6
138,6
225,6
463,6
322,6
220,6
147,6
325,6
244,6
150,6
240,6
198,6
525,6
283,6
153,6
316,6
476,6
684,6
608,6
1110,6
121,6
158,6
159,6
303,6
327,6
526,6
394,6
162,6
505,6
229,6
281,6
439,6
238,6
581,6
590,6
393,6
192,6
311,6
132,5
253,5
580,5
215,5
507,5
1183,5
233,5
637,5
410,5
407,5
324,5
235,5
520,5
1103,5
555,5
853,5
290,5
498,5
408,5
753,5
535,5
275,5
642,5
424,5
285,5
1021,5
367,5
217,5
269,5
630,5
312,5
355,5
197,5
266,5
218,5
273,5
504,5
124,5
249,5
340,5
503,5
242,5
389,5
457,5
549,5
440,5
337,5
687,5
967,5
452,5
513,5
459,5
361,5
1738,5
354,5
357,5
621,5
106,5
212,5
195,5
692,5
628,5
852,5
317,5
319,5
437,5
729,5
333,5
297,5
373,4
417,4
964,4
453,4
521,4
779,4
422,4
216,4
965,4
292,4
2161,4
1343,4
1092,4
356,4
467,4
288,4
366,4
479,4
518,4
443,4
415,4
256,4
675,4
648,4
718,4
398,4
1790,4
639,4
237,4
688,4
318,4
306,4
222,4
466,4
2075,4
323,4
409,4
725,4
923,4
231,4
380,4
618,4
262,4
616,4
